;Data;Sinal de Compra (MACD);Compra_MACD_1;Compra_MACD_2;Compra_MACD_3;Compra_MACD_5;Compra_MACD_7;Compra_MACD_9;Compra_MACD_14;Compra_MACD_21
1091;2016-12-22;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1090;2016-12-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1089;2016-12-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1088;2016-12-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1087;2016-12-28;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1086;2016-12-29;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0
1085;2017-01-02;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0
1084;2017-01-03;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1083;2017-01-04;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1082;2017-01-05;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1081;2017-01-06;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1080;2017-01-09;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1079;2017-01-10;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1078;2017-01-11;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1077;2017-01-12;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1076;2017-01-13;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1075;2017-01-16;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1074;2017-01-17;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1073;2017-01-18;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1072;2017-01-19;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1071;2017-01-20;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1070;2017-01-23;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1069;2017-01-24;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1068;2017-01-26;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1067;2017-01-27;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1066;2017-01-30;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1065;2017-01-31;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1064;2017-02-01;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1063;2017-02-02;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1062;2017-02-03;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1061;2017-02-06;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1060;2017-02-07;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1059;2017-02-08;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1058;2017-02-09;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1057;2017-02-10;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1056;2017-02-13;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1055;2017-02-14;0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
1054;2017-02-15;0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0
1053;2017-02-16;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1052;2017-02-17;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0
1051;2017-02-20;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1050;2017-02-21;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0
1049;2017-02-22;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1048;2017-02-23;0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0
1047;2017-02-24;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1046;2017-03-01;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1045;2017-03-02;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1044;2017-03-03;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1043;2017-03-06;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
1042;2017-03-07;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1041;2017-03-08;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1040;2017-03-09;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1039;2017-03-10;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1038;2017-03-13;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1037;2017-03-14;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
